127.0.0.1, 2015-10-26 22:01:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000188
127.0.0.1, 2015-10-26 22:01:02, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.22-01-00.5fd80dbc-aae3-4ac5-8615-2a703deca42a, HTTP/1.1, 200, 0.059216
127.0.0.1, 2015-10-26 22:01:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000303
127.0.0.1, 2015-10-26 22:01:30, GET, /init/admin, HTTP/1.1, 200, 0.048301
127.0.0.1, 2015-10-26 22:01:30, GET, /init/static/js/modernizr.custom.js, HTTP/1.1, 404, 0.000393
127.0.0.1, 2015-10-26 22:01:30, GET, /init/static/js/ckeditor/ckeditor.js, HTTP/1.1, 304, 0.000812
127.0.0.1, 2015-10-26 22:01:30, GET, /init/static/js/jquery.js, HTTP/1.1, 304, 0.000492
127.0.0.1, 2015-10-26 22:01:30, GET, /init/static/css/calendar.css, HTTP/1.1, 304, 0.000411
127.0.0.1, 2015-10-26 22:01:30, GET, /init/static/js/calendar.js, HTTP/1.1, 304, 0.000673
127.0.0.1, 2015-10-26 22:01:30, GET, /init/static/css/web2py_bootstrap.css, HTTP/1.1, 404, 0.000374
127.0.0.1, 2015-10-26 22:01:30, GET, /init/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001621
127.0.0.1, 2015-10-26 22:01:30, GET, /init/static/js/web2py.js, HTTP/1.1, 304, 0.001421
127.0.0.1, 2015-10-26 22:01:30, GET, /init/static/css/bootstrap-responsive.min.css, HTTP/1.1, 404, 0.000389
127.0.0.1, 2015-10-26 22:01:30, GET, /init/static/css/web2py.css, HTTP/1.1, 200, 0.003289
127.0.0.1, 2015-10-26 22:01:30, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002725
127.0.0.1, 2015-10-26 22:01:30, GET, /init/static/js/web2py_bootstrap.js, HTTP/1.1, 404, 0.000395
127.0.0.1, 2015-10-26 22:01:30, GET, /init/static/js/share.js, HTTP/1.1, 304, 0.000470
127.0.0.1, 2015-10-26 22:01:30, GET, /init/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000307
127.0.0.1, 2015-10-26 22:01:30, GET, /init/static/images/twitter.png, HTTP/1.1, 304, 0.000438
127.0.0.1, 2015-10-26 22:01:30, GET, /init/static/images/facebook.png, HTTP/1.1, 304, 0.000883
127.0.0.1, 2015-10-26 22:01:30, GET, /init/static/images/gplus-32.png, HTTP/1.1, 304, 0.000526
127.0.0.1, 2015-10-26 22:04:01, GET, /init/admin, HTTP/1.1, 200, 0.043742
127.0.0.1, 2015-10-26 22:04:01, GET, /init/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000428
127.0.0.1, 2015-10-26 22:04:01, GET, /init/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000460
127.0.0.1, 2015-10-26 22:04:01, GET, /init/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000423
127.0.0.1, 2015-10-26 22:04:01, GET, /init/static/js/jquery.js, HTTP/1.1, 304, 0.000451
127.0.0.1, 2015-10-26 22:04:01, GET, /init/static/css/calendar.css, HTTP/1.1, 304, 0.000555
127.0.0.1, 2015-10-26 22:04:01, GET, /init/static/js/web2py.js, HTTP/1.1, 304, 0.000382
127.0.0.1, 2015-10-26 22:04:01, GET, /init/static/js/calendar.js, HTTP/1.1, 304, 0.000372
127.0.0.1, 2015-10-26 22:04:01, GET, /init/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000353
127.0.0.1, 2015-10-26 22:04:01, GET, /init/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000365
127.0.0.1, 2015-10-26 22:04:01, GET, /init/static/js/share.js, HTTP/1.1, 304, 0.000320
127.0.0.1, 2015-10-26 22:04:01, GET, /init/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000258
127.0.0.1, 2015-10-26 22:04:01, GET, /init/static/images/twitter.png, HTTP/1.1, 304, 0.000454
127.0.0.1, 2015-10-26 22:04:01, GET, /init/static/images/facebook.png, HTTP/1.1, 304, 0.000822
127.0.0.1, 2015-10-26 22:04:01, GET, /init/static/images/gplus-32.png, HTTP/1.1, 304, 0.000435
127.0.0.1, 2015-10-26 22:04:14, GET, /init/admin/style_sheet, HTTP/1.1, 200, 0.043163
